ts,currency,impact,event
2023-01-18 13:50:21+05:30,USD,low,Jobs
2023-01-18 15:55:41+05:30,EUR,medium,Jobs
2023-01-18 16:05:07+05:30,USD,low,GDP
2023-01-18 17:33:42+05:30,EUR,low,GDP
2023-01-19 00:29:28+05:30,USD,low,Rate Decision
2023-01-19 07:43:07+05:30,EUR,low,CPI
2023-01-19 07:52:25+05:30,EUR,medium,GDP
2023-01-19 13:39:46+05:30,USD,medium,NFP
2023-01-19 17:46:22+05:30,USD,low,Jobs
2023-01-19 18:57:36+05:30,USD,medium,GDP
2023-01-20 07:47:53+05:30,EUR,low,Rate Decision
2023-01-20 12:31:06+05:30,EUR,medium,Jobs
2023-01-20 15:53:42+05:30,EUR,medium,Retail Sales
2023-01-21 00:21:56+05:30,USD,low,Retail Sales
2023-01-21 00:42:25+05:30,EUR,low,Jobs
2023-01-21 00:53:48+05:30,USD,medium,Retail Sales
2023-01-21 12:54:54+05:30,EUR,medium,Rate Decision
2023-01-21 15:13:30+05:30,EUR,medium,PMI
2023-01-21 22:10:59+05:30,EUR,low,GDP
2023-01-22 01:11:53+05:30,EUR,medium,PMI
2023-01-22 14:06:34+05:30,EUR,high,NFP
2023-01-22 15:30:28+05:30,USD,low,Rate Decision
2023-01-22 15:47:36+05:30,EUR,medium,Rate Decision
2023-01-22 22:19:56+05:30,EUR,medium,Rate Decision
2023-01-23 05:30:52+05:30,EUR,low,Rate Decision
2023-01-24 05:02:33+05:30,EUR,low,PMI
2023-01-24 12:39:11+05:30,EUR,low,Retail Sales
2023-01-24 21:47:35+05:30,USD,medium,Rate Decision
2023-01-24 22:30:05+05:30,EUR,high,GDP
2023-01-24 23:17:49+05:30,USD,low,NFP
2023-01-25 01:36:25+05:30,USD,medium,PMI
2023-01-25 06:33:40+05:30,EUR,medium,NFP
2023-01-25 10:01:02+05:30,USD,low,Rate Decision
2023-01-25 14:30:13+05:30,EUR,low,Jobs
2023-01-25 17:33:19+05:30,EUR,high,Rate Decision
2023-01-26 00:35:19+05:30,USD,low,NFP
2023-01-26 06:11:13+05:30,USD,medium,Rate Decision
2023-01-26 08:05:51+05:30,EUR,low,PMI
2023-01-26 12:26:50+05:30,USD,medium,Rate Decision
2023-01-27 02:38:24+05:30,USD,low,Retail Sales
2023-01-27 22:09:56+05:30,EUR,low,Jobs
2023-01-28 00:49:41+05:30,EUR,medium,Jobs
2023-01-28 10:31:16+05:30,USD,medium,Retail Sales
2023-01-28 13:36:10+05:30,EUR,high,PMI
2023-01-28 15:43:08+05:30,USD,low,Jobs
2023-01-28 19:53:53+05:30,EUR,low,Jobs
2023-01-28 20:57:47+05:30,USD,medium,PMI
2023-01-28 21:15:39+05:30,EUR,low,GDP
2023-01-28 21:38:36+05:30,USD,medium,Rate Decision
2023-01-28 21:59:58+05:30,EUR,low,Retail Sales
2023-01-29 00:10:17+05:30,USD,low,Jobs
2023-01-29 02:07:44+05:30,USD,medium,Jobs
2023-01-29 08:39:03+05:30,USD,medium,Rate Decision
2023-01-29 10:52:10+05:30,EUR,low,PMI
2023-01-29 17:35:56+05:30,EUR,low,GDP
2023-01-30 02:07:38+05:30,USD,low,Jobs
2023-01-30 13:26:00+05:30,EUR,medium,Retail Sales
2023-01-30 17:41:14+05:30,USD,low,Rate Decision
2023-01-30 23:31:12+05:30,USD,medium,GDP
2023-01-30 23:38:27+05:30,USD,medium,GDP
2023-01-31 10:52:13+05:30,USD,low,CPI
2023-01-31 14:56:52+05:30,USD,medium,PMI
2023-01-31 16:26:28+05:30,EUR,medium,Retail Sales
2023-01-31 16:59:26+05:30,USD,low,Rate Decision
2023-01-31 18:43:29+05:30,EUR,medium,CPI
2023-02-01 00:14:40+05:30,USD,low,NFP
2023-02-01 06:38:52+05:30,EUR,high,Jobs
2023-02-01 12:03:10+05:30,EUR,low,PMI
2023-02-01 23:50:19+05:30,USD,low,Retail Sales
2023-02-02 02:14:35+05:30,USD,low,GDP
2023-02-02 03:12:11+05:30,EUR,medium,Retail Sales
2023-02-02 09:15:26+05:30,EUR,high,Retail Sales
2023-02-02 13:27:55+05:30,EUR,low,GDP
2023-02-02 17:15:25+05:30,USD,low,Retail Sales
2023-02-02 21:59:00+05:30,USD,low,GDP
2023-02-03 03:50:09+05:30,USD,low,NFP
2023-02-03 11:38:55+05:30,EUR,medium,GDP
2023-02-03 17:33:10+05:30,EUR,medium,GDP
2023-02-03 23:54:06+05:30,EUR,medium,CPI
2023-02-04 00:18:32+05:30,EUR,low,GDP
2023-02-04 01:39:26+05:30,USD,low,NFP
2023-02-04 20:41:58+05:30,USD,low,Rate Decision
2023-02-05 13:17:26+05:30,EUR,high,NFP
2023-02-05 23:20:24+05:30,EUR,medium,Jobs
2023-02-06 03:45:15+05:30,EUR,low,Rate Decision
2023-02-06 04:53:43+05:30,USD,low,CPI
2023-02-06 15:44:00+05:30,EUR,low,PMI
2023-02-06 16:39:14+05:30,EUR,low,CPI
2023-02-06 18:59:10+05:30,EUR,high,CPI
2023-02-07 04:46:24+05:30,USD,medium,PMI
2023-02-07 10:16:58+05:30,USD,high,Retail Sales
2023-02-07 12:45:15+05:30,EUR,medium,NFP
2023-02-07 16:46:33+05:30,USD,medium,CPI
2023-02-07 16:47:11+05:30,USD,low,GDP
2023-02-08 03:26:35+05:30,USD,medium,NFP
2023-02-08 07:36:21+05:30,USD,high,Rate Decision
2023-02-08 15:06:07+05:30,USD,low,GDP
2023-02-08 21:23:48+05:30,EUR,low,Rate Decision
2023-02-08 21:38:27+05:30,EUR,low,GDP
2023-02-08 22:03:01+05:30,USD,low,CPI
2023-02-08 22:11:47+05:30,EUR,low,GDP
2023-02-08 23:53:16+05:30,EUR,low,NFP
2023-02-09 01:30:08+05:30,USD,medium,Jobs
2023-02-10 02:17:28+05:30,USD,low,NFP
2023-02-10 13:37:23+05:30,EUR,medium,Retail Sales
2023-02-10 22:03:06+05:30,USD,medium,PMI
2023-02-11 01:17:46+05:30,EUR,low,CPI
2023-02-11 04:27:28+05:30,USD,high,GDP
2023-02-11 07:32:33+05:30,EUR,low,GDP
2023-02-11 12:02:19+05:30,USD,low,CPI
2023-02-11 13:30:45+05:30,USD,medium,Jobs
2023-02-11 20:48:33+05:30,USD,high,GDP
2023-02-11 22:01:23+05:30,EUR,medium,CPI
2023-02-12 03:35:03+05:30,EUR,high,Jobs
2023-02-12 09:38:26+05:30,USD,medium,PMI
2023-02-12 12:50:27+05:30,EUR,low,NFP
2023-02-12 15:43:07+05:30,EUR,low,Retail Sales
2023-02-12 19:44:35+05:30,USD,low,GDP
2023-02-13 00:09:17+05:30,USD,high,Jobs
2023-02-13 03:20:50+05:30,USD,low,Retail Sales
2023-02-13 05:03:29+05:30,USD,medium,GDP
2023-02-13 09:29:35+05:30,EUR,low,Jobs
2023-02-14 00:22:58+05:30,EUR,high,Retail Sales
2023-02-14 04:15:50+05:30,EUR,medium,Jobs
2023-02-14 08:59:47+05:30,USD,low,CPI
2023-02-14 14:24:18+05:30,USD,medium,GDP
2023-02-14 14:36:47+05:30,EUR,medium,CPI
2023-02-15 16:28:47+05:30,EUR,medium,CPI
2023-02-15 20:51:16+05:30,EUR,medium,GDP
2023-02-15 23:10:08+05:30,EUR,high,Retail Sales
2023-02-16 02:24:24+05:30,EUR,medium,NFP
2023-02-16 05:31:32+05:30,EUR,low,PMI
2023-02-16 06:11:03+05:30,USD,medium,GDP
2023-02-16 07:57:49+05:30,USD,low,NFP
2023-02-16 08:34:59+05:30,EUR,low,CPI
2023-02-16 19:51:02+05:30,USD,medium,PMI
2023-02-16 22:56:46+05:30,USD,low,CPI
2023-02-17 06:16:03+05:30,USD,low,Rate Decision
2023-02-17 22:51:04+05:30,USD,low,Retail Sales
2023-02-18 01:37:01+05:30,USD,high,Rate Decision
2023-02-18 02:57:23+05:30,EUR,low,CPI
2023-02-18 07:19:44+05:30,USD,low,NFP
2023-02-18 09:10:57+05:30,USD,medium,GDP
2023-02-18 12:34:09+05:30,EUR,high,Rate Decision
2023-02-19 00:34:54+05:30,EUR,low,Jobs
2023-02-19 16:57:42+05:30,EUR,low,NFP
2023-02-20 03:56:52+05:30,EUR,low,CPI
2023-02-20 18:20:06+05:30,USD,medium,CPI
2023-02-21 15:01:00+05:30,USD,low,Retail Sales
2023-02-21 22:48:54+05:30,USD,low,NFP
2023-02-22 03:49:04+05:30,EUR,low,Retail Sales
2023-02-22 08:52:10+05:30,USD,low,Rate Decision
2023-02-22 20:59:24+05:30,USD,low,CPI
2023-02-22 22:33:16+05:30,USD,low,NFP
2023-02-23 00:05:31+05:30,USD,low,Retail Sales
2023-02-23 08:01:57+05:30,USD,high,Rate Decision
2023-02-23 11:59:15+05:30,USD,low,Jobs
2023-02-23 18:28:13+05:30,USD,low,GDP
2023-02-23 23:44:25+05:30,USD,high,NFP
2023-02-24 08:03:58+05:30,EUR,medium,Retail Sales
2023-02-24 09:06:07+05:30,EUR,low,CPI
2023-02-24 15:23:36+05:30,USD,medium,CPI
2023-02-24 17:38:39+05:30,USD,low,GDP
2023-02-25 01:39:42+05:30,EUR,low,Rate Decision
2023-02-25 21:39:51+05:30,EUR,medium,NFP
2023-02-26 03:07:10+05:30,EUR,low,PMI
2023-02-26 04:29:27+05:30,USD,low,Retail Sales
2023-02-26 17:24:25+05:30,EUR,low,CPI
2023-02-26 23:02:32+05:30,EUR,medium,PMI
2023-02-27 01:04:25+05:30,EUR,low,PMI
2023-02-27 07:05:23+05:30,USD,medium,NFP
2023-02-27 07:12:11+05:30,EUR,low,NFP
2023-02-27 11:56:36+05:30,EUR,medium,Rate Decision
2023-02-27 16:47:41+05:30,USD,low,Jobs
2023-02-27 23:56:38+05:30,USD,medium,Retail Sales
2023-02-28 04:26:59+05:30,USD,medium,GDP
2023-02-28 08:07:02+05:30,USD,medium,NFP
2023-02-28 08:21:08+05:30,EUR,medium,Retail Sales
2023-02-28 10:15:43+05:30,EUR,medium,CPI
2023-02-28 11:50:54+05:30,USD,low,PMI
